step	time	T	Ekin	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	count_0
212000	212	4.50548	27032.9	6854.18	4536.61	1814.67	1941.12	21702.5	621
213000	213	4.5781	27468.6	6850.73	4736.61	1885.37	2097.02	20899.4	623
214000	214	4.53694	27221.6	6871.4	4656.28	1845	2660.38	21091.4	625
215000	215	4.52673	27160.4	7024.47	4594.03	1719.25	1752.34	20760.9	627
216000	216	4.58099	27485.9	6839.65	4478.26	1717.79	1746.48	20672.8	627
217000	217	4.58069	27484.1	6736.69	4777.28	1651.72	3364.42	21307.4	631
218000	218	4.64825	27889.5	6877.87	4809.69	1801.82	1954.03	21013.8	632
219000	219	4.62007	27720.4	6612.89	4647.55	1840.92	3555.39	20789.3	637
220000	220	4.60806	27648.3	7137.79	4728.39	1861.09	3332.28	20830.5	641
221000	221	4.59488	27569.3	6977.56	4661.7	1912.51	2166.2	20588.8	643
222000	222	4.48978	26938.7	6786.29	4452.76	2013.26	1961.35	20867.9	644
223000	223	4.46898	26813.9	7079.61	4627.94	1995.77	2845.2	21132.9	647
224000	224	4.62171	27730.2	6783.32	4649.11	1831.44	2385.6	20725.2	649
225000	225	4.62439	27746.3	6796.42	4640.89	1741.35	1725.66	21030.3	649
226000	226	4.53049	27182.9	6939.72	4537.01	1863.36	3254.76	20508.7	652
227000	227	4.4826	26895.6	6971.22	4769.86	1949.95	2721.87	20907.9	655
228000	228	4.59267	27556	6902.31	4780.63	1844.09	2598.54	20744.9	657
229000	229	4.59833	27590	7260.16	4804.01	1868.8	3031.63	20579.4	660
230000	230	4.61762	27705.7	7217.46	4696.79	1959.02	1570.12	20879.2	660
231000	231	4.5378	27226.8	7165.75	4701.5	1848.89	1470.26	20970.7	660
232000	232	4.69728	28183.7	6957.75	4353.33	1884.56	3472.63	20542.1	664
233000	233	4.76646	28598.8	6805.55	4555.72	2057.13	1603.24	21010.3	664
234000	234	4.60018	27601.1	6958	4426.17	2031.95	1586.77	20816.4	664
235000	235	4.56588	27395.3	6853.66	4727.36	1971.91	2679.48	20533.7	666
236000	236	4.56147	27368.8	7038.07	4964.12	1782.55	2159.3	20694.3	668
237000	237	4.64021	27841.3	6969.69	4830.41	1971.15	2822.34	20786.5	670
