# t cr num_loops avg_loops
1.140000000000000000e+05 1.690000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.150000000000000000e+05 1.690000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.160000000000000000e+05 1.692000000000000000e+03 6.000000000000000000e+00 1.200000000000000000e+01
1.170000000000000000e+05 1.694000000000000000e+03 6.000000000000000000e+00 1.200000000000000000e+01
1.180000000000000000e+05 1.693000000000000000e+03 6.000000000000000000e+00 1.200000000000000000e+01
1.190000000000000000e+05 1.695000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.200000000000000000e+05 1.695000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.210000000000000000e+05 1.695000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.220000000000000000e+05 1.695000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.230000000000000000e+05 1.697000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.240000000000000000e+05 1.701000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.250000000000000000e+05 1.698000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.260000000000000000e+05 1.701000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.270000000000000000e+05 1.705000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.280000000000000000e+05 1.707000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.290000000000000000e+05 1.709000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.300000000000000000e+05 1.710000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.310000000000000000e+05 1.713000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.320000000000000000e+05 1.713000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.330000000000000000e+05 1.712000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.340000000000000000e+05 1.713000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.350000000000000000e+05 1.714000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.360000000000000000e+05 1.716000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.370000000000000000e+05 1.717000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.380000000000000000e+05 1.720000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.390000000000000000e+05 1.722000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.400000000000000000e+05 1.720000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.410000000000000000e+05 1.721000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.420000000000000000e+05 1.724000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.430000000000000000e+05 1.727000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.440000000000000000e+05 1.728000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.450000000000000000e+05 1.729000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.460000000000000000e+05 1.731000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.470000000000000000e+05 1.730000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.480000000000000000e+05 1.729000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.490000000000000000e+05 1.731000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.500000000000000000e+05 1.730000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.510000000000000000e+05 1.730000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.520000000000000000e+05 1.730000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.530000000000000000e+05 1.730000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.540000000000000000e+05 1.728000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.550000000000000000e+05 1.727000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.560000000000000000e+05 1.728000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.570000000000000000e+05 1.730000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.580000000000000000e+05 1.728000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.590000000000000000e+05 1.725000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.600000000000000000e+05 1.727000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.610000000000000000e+05 1.725000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.620000000000000000e+05 1.726000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.630000000000000000e+05 1.731000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.640000000000000000e+05 1.731000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.650000000000000000e+05 1.731000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.660000000000000000e+05 1.733000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.670000000000000000e+05 1.734000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.680000000000000000e+05 1.734000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.690000000000000000e+05 1.735000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.700000000000000000e+05 1.738000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.710000000000000000e+05 1.738000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.720000000000000000e+05 1.737000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.730000000000000000e+05 1.736000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.740000000000000000e+05 1.734000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.750000000000000000e+05 1.734000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.760000000000000000e+05 1.734000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
1.770000000000000000e+05 1.733000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
1.780000000000000000e+05 1.734000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
1.790000000000000000e+05 1.736000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
1.800000000000000000e+05 1.737000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
1.810000000000000000e+05 1.739000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
1.820000000000000000e+05 1.738000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
1.830000000000000000e+05 1.736000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
1.840000000000000000e+05 1.737000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
1.850000000000000000e+05 1.740000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
1.860000000000000000e+05 1.742000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
1.870000000000000000e+05 1.741000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
1.880000000000000000e+05 1.741000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
1.890000000000000000e+05 1.741000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
1.900000000000000000e+05 1.743000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
1.910000000000000000e+05 1.742000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
1.920000000000000000e+05 1.740000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
1.930000000000000000e+05 1.739000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
1.940000000000000000e+05 1.740000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
1.950000000000000000e+05 1.740000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
1.960000000000000000e+05 1.741000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
1.970000000000000000e+05 1.740000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
1.980000000000000000e+05 1.741000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
1.990000000000000000e+05 1.743000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.000000000000000000e+05 1.746000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.010000000000000000e+05 1.746000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.020000000000000000e+05 1.747000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.030000000000000000e+05 1.748000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.040000000000000000e+05 1.747000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.050000000000000000e+05 1.746000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.060000000000000000e+05 1.748000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.070000000000000000e+05 1.750000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.080000000000000000e+05 1.748000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.090000000000000000e+05 1.747000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.100000000000000000e+05 1.747000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.110000000000000000e+05 1.747000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.120000000000000000e+05 1.747000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.130000000000000000e+05 1.748000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.140000000000000000e+05 1.747000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.150000000000000000e+05 1.749000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.160000000000000000e+05 1.748000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.170000000000000000e+05 1.749000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.180000000000000000e+05 1.747000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.190000000000000000e+05 1.747000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.200000000000000000e+05 1.749000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.210000000000000000e+05 1.748000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.220000000000000000e+05 1.748000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.230000000000000000e+05 1.753000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.240000000000000000e+05 1.753000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.250000000000000000e+05 1.756000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.260000000000000000e+05 1.757000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.270000000000000000e+05 1.758000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
