step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	lj-tab_cap	tab-dynamic_0	cr_3	count_0	st_A_1	st_C_0	st_D_2	st_E_0	st_E_1	st_Z_0	st_W_0	st_W_1	st_DUMMY_7_0	st_DUMMY_7_1	st_DUMMY_7_2	st_DUMMY_8_0	st_DUMMY_8_1	st_DUMMY_8_2	fd_0	fd_1
15750	15.75	4.7256	30430.5	816.291	6849.77	4944.73	614.626	17461	9861.38	19.9751	0.176	352	1648	352	554	62	384	4	293	0	1408	0	0	295	0	0	1408	295
16000	16	4.65049	29786.4	809.43	25415.4	4796.16	550.661	17514	10060.3	28.4573	0.1635	327	1673	327	571	55	374	2	270	0	1433	0	0	295	0	0	1433	295
16250	16.25	4.83291	30954.8	801.897	6962.48	4770.19	529.578	17474.5	10218.8	26.8768	0.1635	327	1673	327	571	55	374	2	270	0	1433	0	0	295	0	0	1433	295
16500	16.5	4.65846	29844.4	754.768	6496.22	4495.35	560.686	17706.6	10166.5	9.51762	0.1635	327	1673	327	571	55	374	1	271	0	1433	0	0	295	0	0	1433	295
16750	16.75	4.5185	28947.8	743.068	6748.32	4650.64	582.123	17561.7	10183.5	14.9593	0.1635	327	1673	327	571	55	374	1	271	0	1433	0	0	295	0	0	1433	295
17000	17	4.63495	29533.9	823.337	40362.8	4754.31	509.394	17404.3	10320.1	0	0.1515	303	1697	303	591	51	358	0	248	0	1457	0	0	295	0	0	1457	295
17250	17.25	4.8902	31160.4	734.559	7179.72	4733.63	495.284	17390.6	10381.4	0	0.1515	303	1697	303	591	51	358	0	248	0	1457	0	0	295	0	0	1457	295
17500	17.5	4.629	29496	686.566	6640.72	4638.25	497.142	17274.9	10149.3	0	0.1515	303	1697	303	591	51	358	0	248	0	1457	0	0	295	0	0	1457	295
17750	17.75	4.50334	28695.3	667.404	6394.64	4525.45	504.917	16912.2	10537.8	3.97492	0.1515	303	1697	303	591	51	358	2	248	0	1456	0	0	294	0	0	1456	294
18000	18	4.60561	29236.4	687.262	15215.3	4647.61	465.724	16841.4	10551.1	13.6953	0.1435	287	1713	287	604	48	348	2	232	0	1472	0	0	294	0	0	1472	294
18250	18.25	4.56835	28999.9	722.145	6469.66	4646.24	464.637	16588.2	10340.4	35.088	0.1435	287	1713	287	604	48	348	2	232	0	1472	0	0	294	0	0	1472	294
18500	18.5	4.52761	28741.3	708.489	6509.3	4690.58	433.592	16506.8	10382.8	35.538	0.1435	287	1713	287	604	48	348	2	232	0	1472	0	0	294	0	0	1472	294
18750	18.75	4.61039	29266.7	527.695	6450	4781.04	409.668	16604.1	10390.7	17.7601	0.1435	287	1713	287	604	48	348	2	232	0	1472	0	0	294	0	0	1472	294
19000	19	4.51662	28597	634.344	13953.4	4753.15	462.299	16554.9	10637.6	0	0.137	274	1726	274	616	47	337	0	221	0	1485	0	0	294	0	0	1485	294
19250	19.25	4.68907	29688.8	642.296	6637.91	4703.72	464.907	16613.2	10786.7	0	0.137	274	1726	274	616	47	337	0	221	0	1485	0	0	294	0	0	1485	294
19500	19.5	4.62023	29253	715.438	6666.09	4773.42	442.266	16551.5	10568	0	0.137	274	1726	274	616	47	337	0	221	0	1485	0	0	294	0	0	1485	294
19750	19.75	4.56605	28909.9	612.908	6830.45	4616.37	417.566	16891.4	10110.9	7.13942	0.137	274	1726	274	616	47	337	1	221	0	1484	0	0	294	0	0	1484	294
20000	20	4.51768	28495.2	622.21	39145.7	4710.71	407.472	16880.7	10507	15.2299	0.129	258	1742	258	629	44	327	1	205	0	1500	0	0	294	0	0	1500	294
