step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	cr_3	count_0	res_fpl_0
161000	161	4.38065	26283.9	0	5321.09	4383	0	25632.4	0	0	0	-nan
162000	162	4.42075	26524.5	0	5188.06	4403	0	25262.6	0	0	0	-nan
163000	163	4.3072	25843.2	0	5169.71	4537.76	0	25533.7	0	0	0	-nan
164000	164	4.33013	25980.8	0	5211.32	4552.88	0	25564.2	0	0	0	-nan
165000	165	4.47608	26856.5	0	4825.98	4683.09	0	25266.8	0	0	0	-nan
166000	166	4.42366	26542	0	4997.57	4436.62	0	25393.3	0	0	0	-nan
167000	167	4.41736	26504.2	0	5375.22	4461.15	0	24852	0	0	0	-nan
168000	168	4.44736	26684.2	0	5328.39	4506.32	0	24715.1	0	0	0	-nan
169000	169	4.32843	25970.6	0	5002.97	4491.16	0	25219.4	0	0	0	-nan
170000	170	4.38422	26305.3	0	5361.13	4631.1	0	25233.4	0	0	0	-nan
171000	171	4.33375	26002.5	0	5101.98	4452.2	0	25671.3	0	0	0	-nan
172000	172	4.3994	26396.4	0	5010.3	4570.27	0	25403.3	0	0	0	-nan
173000	173	4.42225	26533.5	0	5379.01	4368.48	0	25455.6	0	0	0	-nan
174000	174	4.43532	26611.9	0	5455.87	4884.03	0	25357.5	0	0	0	-nan
175000	175	4.41046	26462.8	0	5103.96	4045.02	0	25198.8	0	0	0	-nan
176000	176	4.52496	27149.8	0	5180.78	4536.91	0	25396	0	0	0	-nan
177000	177	4.42879	26572.7	0	5224.94	4229.93	0	25528	0	0	0	-nan
178000	178	4.52493	27149.6	0	4931.54	4480.94	0	25317.9	0	0	0	-nan
179000	179	4.49572	26974.3	0	5062.67	4446.62	0	25355.8	0	0	0	-nan
180000	180	4.52703	27162.2	0	5333.74	4634	0	25068.5	0	0	0	-nan
181000	181	4.36674	26200.4	0	5169.11	4361.22	0	25204.3	0	0	0	-nan
182000	182	4.50397	27023.8	0	5121.66	4388.78	0	24910.8	0	0	0	-nan
183000	183	4.42508	26550.5	0	5132.49	4365.71	0	25163	0	0	0	-nan
184000	184	4.51105	27066.3	0	5181.4	4432.61	0	24750	0	0	0	-nan
185000	185	4.4601	26760.6	0	5358.34	4413.9	0	24963.7	0	0	0	-nan
186000	186	4.39789	26387.3	0	5086.43	4416.23	0	25297.4	0	0	0	-nan
187000	187	4.438	26628	0	5315.68	4404.17	0	25433.8	0	0	0	-nan
188000	188	4.40011	26400.6	0	5249.88	4614.78	0	25231.5	0	0	0	-nan
189000	189	4.48214	26892.8	0	5102.29	4623.76	0	25103.5	0	0	0	-nan
190000	190	4.48971	26938.3	0	5169.24	4293.25	0	25199.7	0	0	0	-nan
191000	191	4.33752	26025.1	0	5113.88	4571.24	0	25478.1	0	0	0	-nan
192000	192	4.35934	26156	0	5029.43	4271.86	0	25408	0	0	0	-nan
193000	193	4.399	26394	0	5140.32	4457.67	0	25366.9	0	0	0	-nan
194000	194	4.48358	26901.5	0	5385.69	4399.75	0	25358.1	0	0	0	-nan
195000	195	4.44516	26671	0	5324.05	4643.93	0	25479.3	0	0	0	-nan
196000	196	4.42642	26558.5	0	5191.05	4530.37	0	25400.7	0	0	0	-nan
197000	197	4.40424	26425.5	0	5117.08	4377.12	0	25292.6	0	0	0	-nan
198000	198	4.33304	25998.2	0	5213.36	4601.44	0	25878.3	0	0	0	-nan
199000	199	4.46302	26778.1	0	5200.02	4544.36	0	25739.2	0	0	0	-nan
200000	200	4.48286	26897.2	0	5472.42	4697.16	0	25756.4	0	0	0	-nan
201000	201	4.5337	27202.2	0	5234.32	4419.66	0	25799.3	0	0	0	-nan
202000	202	4.34874	26092.4	0	5400.02	4595.31	0	25450.1	0	0	0	-nan
203000	203	4.3823	26293.8	0	5434.61	4373.08	0	25819.1	0	0	0	-nan
204000	204	4.4695	26817	0	5109.94	4410.76	0	25773.2	0	0	0	-nan
205000	205	4.46006	26760.4	0	5366.57	4339.03	0	25958.6	0	0	0	-nan
206000	206	4.39617	26377	0	5217.51	4225.15	0	25748.3	0	0	0	-nan
207000	207	4.41434	26486	0	5092.41	4791.52	0	25771.9	0	0	0	-nan
208000	208	4.48097	26885.8	0	5289.14	4582.07	0	25469.1	0	0	0	-nan
209000	209	4.51563	27093.8	0	5257.71	4418.37	0	25934.5	0	0	0	-nan
210000	210	4.48373	26902.4	0	5373.23	4504.98	0	25879.7	0	0	0	-nan
211000	211	4.3861	26316.6	0	5208.31	4636.68	0	25632.3	0	0	0	-nan
212000	212	4.48088	26885.3	0	5096.64	4440.51	0	25539.4	0	0	0	-nan
213000	213	4.45038	26702.3	0	5148.78	4209.75	0	25670.3	0	0	0	-nan
214000	214	4.39928	26395.7	0	5247.18	4522.56	0	25656.7	0	0	0	-nan
