step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	tab-scaled_0	cr_3	count_0	res_fpl_0
159000	159	4.55665	38364.7	3778.01	239394	4672.11	5993.72	21225.3	3600.5	6263.01	0.8215	1643	0.989653
160000	160	4.5463	38298	3756.01	88802.2	4719.44	5744.13	21500.4	264.948	5861.82	0.822	1644	0.995134
161000	161	4.5472	38360.2	3907.29	86729.3	4577.23	5806.68	21145.9	767.619	6210.83	0.8225	1645	0.994529
162000	162	4.44907	37505.7	3740.65	96833	4463.33	5943.96	21163.3	4509.62	7346.91	0.826	1652	0.988499
163000	163	4.41861	37248.8	3567.99	40766.7	4559.68	5868.06	21072.6	190.346	5889.71	0.8245	1649	0.996361
164000	164	4.56591	38504.3	3628.81	189225	4482.01	5732.81	21482.7	57.4819	6042.69	0.8235	1647	0.993928
165000	165	4.47578	37717.4	3478.67	77239.7	4583.67	5741.01	21173.1	199.784	6191.46	0.821	1642	0.995128
166000	166	4.48829	37802.6	3687.89	69840.6	4588.67	5752.4	21300.9	125.572	5895.01	0.818	1636	0.99511
167000	167	4.46341	37599.8	3878.11	68874.8	4880.2	5840.42	21103.9	59.979	6235.71	0.822	1644	0.990876
168000	168	4.50414	37949.7	3684.5	173055	4617.69	5826.8	21429.2	654.498	6046.55	0.824	1648	0.992718
169000	169	4.55632	38396.1	3677.46	142863	4817.44	5961.8	21510.4	512.919	6084.07	0.827	1654	0.989722
170000	170	4.53038	38204.7	3710.95	61434.2	4683.11	5912.06	21433.8	154.326	6176.62	0.828	1656	0.993357
171000	171	4.47434	37758.9	3787.22	147463	4684.37	5954.93	21508.7	128.946	6113.49	0.826	1652	0.995157
172000	172	4.5286	38237.3	3525.25	123728	4755.02	5914.02	21411	530.515	5874.88	0.8275	1655	0.992145
173000	173	4.45397	37613.8	3465.12	162516	4385.67	5928.75	21506.6	99.2925	6017.54	0.829	1658	0.992762
174000	174	4.43605	37469.1	3797.34	30192.8	4756.55	5874.02	20929.6	117.984	6127.06	0.827	1654	0.995768
175000	175	4.48159	37840.3	3835.89	97823.6	4617	5862.28	21257.8	30.7227	5929.3	0.824	1648	0.996359
176000	176	4.56452	38581.6	3633.41	118854	4654.1	5974.99	21200.2	431.895	6269.03	0.828	1656	0.993357
177000	177	4.48524	37851	3847.72	166648	4898.24	5855.74	21206.6	1347.59	6447.51	0.827	1654	0.993954
178000	178	4.50362	38026.3	3744.97	262292	4577.31	6092.96	21048.5	225.067	6022.43	0.83	1660	0.991566
179000	179	4.51082	38100.7	3812.51	156545	4525.33	5929.6	21345	257.917	6259.66	0.832	1664	0.991587
180000	180	4.43705	37457.5	3774.07	212103	4634.84	5929.14	21272.5	86.5221	6378.55	0.83	1660	0.992771
181000	181	4.43808	37499.5	3690.84	105725	4749.82	5956.31	21313.8	177.948	6069.69	0.8325	1665	0.99039
182000	182	4.49576	38000.4	3774.6	130986	4700.06	5974.02	21132.7	1326.31	6290.58	0.8325	1665	0.993393
183000	183	4.4942	38021	3884.66	86300.4	4505.34	5947.15	21263.5	94.3377	6175.46	0.8315	1663	0.995189
184000	184	4.55985	38542.1	3578.72	128352	4904.54	5844.5	21247.3	30.5158	6008.95	0.8295	1659	0.994575
185000	185	4.51079	38100.4	3792.36	49441.7	4588.28	5901.07	21029.6	1144.04	6159.27	0.8285	1657	0.994568
186000	186	4.55097	38433	3753.6	167597	4962.8	5825.25	20954.1	615.198	6133.63	0.8275	1655	0.993958
187000	187	4.51741	38122.4	3727.6	86139.5	4429.84	6001.17	21409.4	129.996	6158.53	0.826	1652	0.993341
188000	188	4.41359	37226.4	3671.98	124402	4510.39	5825.65	21049.6	510.598	6332.27	0.8245	1649	0.994542
189000	189	4.50149	37974.6	3658.77	112508	4751.61	5859.41	21092.1	891.65	5974.34	0.826	1652	0.991525
190000	190	4.52497	38193	3657.19	77976.2	4782.39	5902.98	21324.4	2714.43	6177.79	0.829	1658	0.993969
191000	191	4.59428	38750.5	3456.13	176654	4772.08	5940.43	21343	179.879	5952.66	0.825	1650	0.994545
192000	192	4.47585	37778.4	3681.2	101667	4602.83	5852.78	21132.6	54.5888	6282.25	0.8255	1651	0.993943
193000	193	4.51118	38090.2	3534.89	114230	4715.2	5780.2	21202.1	960.747	6339.2	0.8245	1649	0.996361
194000	194	4.50451	38006.8	3612.45	109315	4594.12	5716.35	20776.1	104.329	6228.73	0.8215	1643	0.995131
195000	195	4.58383	38710.5	3791.03	123431	4888.24	5819.92	21275.7	829.051	6129.73	0.8265	1653	0.992136
196000	196	4.43533	37449.7	3780.67	71087.2	4781.04	5894.08	21124.4	94.6561	6279.07	0.826	1652	0.995157
197000	197	4.50703	38034.8	3678.33	194417	4525.78	5822.56	21139.9	80.4465	6082.22	0.8255	1651	0.993337
198000	198	4.42792	37367.2	3729.18	139271	4696.17	5727.33	21074.1	305.896	6032.62	0.827	1654	0.993349
199000	199	4.53003	38215.4	3653.86	146673	4749.45	5972.26	21155.7	841.349	5996.05	0.8255	1651	0.993943
200000	200	4.45118	37570.2	3855.48	237664	4726.26	5925.94	21371.7	73.1131	6168.54	0.829	1658	0.991556
201000	201	4.51727	38141.6	3715.37	134137	4860.66	6019.3	21251.5	129.982	5960.33	0.8285	1657	0.995172
202000	202	4.58781	38812.9	3859.9	70014.7	4654.28	5914.01	21027.8	65.0037	6295.01	0.8295	1659	0.995178
203000	203	4.4838	37912.8	3758.89	166523	4961.45	5973	21099.3	6662.83	6051.81	0.8255	1651	0.998183
204000	204	4.48085	37860.9	3658.33	123351	5039.5	5863.21	21300.2	91.3434	5987.11	0.8255	1651	0.992732
205000	205	4.48371	37844.7	3993.34	75203.4	4647.71	5739.33	21189.6	120.318	5976.77	0.8245	1649	0.995149
206000	206	4.427	37386	3742.08	175920	5011.39	5881.35	20955.4	133.277	6122.98	0.828	1656	0.990338
207000	207	4.49639	37972	3699.88	130469	4622.8	5998.65	21330.2	220.611	5956.24	0.8325	1665	0.99039
208000	208	4.41268	37278.4	3533.99	189529	4703.31	5940.85	21398.2	171.602	6005.53	0.8315	1663	0.994588
209000	209	4.49982	38082	3698.06	148011	4536.06	5938.76	21345.3	68.413	6162.08	0.834	1668	0.992806
210000	210	4.48455	37959.5	3545.64	156916	4624.84	6131.85	21357.2	252.768	6606.39	0.8385	1677	0.991055
211000	211	4.44174	37617.1	3817.69	54259.7	4649.2	6142.32	21053.6	246.648	6255.88	0.837	1674	0.996416
212000	212	4.44908	37712.6	3707.53	133809	4882.43	6121.83	21224.5	4205.08	5872.11	0.8405	1681	0.989887
213000	213	4.56508	38668.5	3828.77	279132	4840.79	6202.51	21244	320.752	6121.49	0.843	1686	0.99051
214000	214	4.41809	37483.1	3752.59	97138.8	4868.81	6275.82	21074.5	122.668	6052.45	0.8425	1685	0.995252
215000	215	4.44595	37779.4	3736.5	103564	4471.65	6020.09	21348.5	50.7732	5986.55	0.845	1690	0.992899
216000	216	4.54111	38547.2	4023.69	74351.5	4595.27	5836.82	20894.9	111.646	6085.95	0.8405	1681	0.997026
217000	217	4.43661	37686.8	4020.03	45985.5	4713.42	6029.78	21128	647.627	5905.71	0.839	1678	0.996424
218000	218	4.46017	37893.6	3835.23	59724.7	4455.1	6058.01	21152.9	14.6619	6030.81	0.839	1678	0.996424
219000	219	4.50814	38274.1	3648.28	61931.9	4687.07	6066.66	21029.9	22.6586	6033.48	0.838	1676	0.995823
220000	220	4.51443	38307.2	3786.39	120177	4500.38	6075.64	21145.6	126.98	5940.95	0.839	1678	0.992849
221000	221	4.65554	39455.7	3809.94	63229.7	4523.64	5986.6	20903	156.866	6033.06	0.838	1676	0.994033
222000	222	4.49569	38094.2	3622.51	174046	4657.37	6018.01	20996.7	158.557	6188.39	0.838	1676	0.99284
223000	223	4.42837	37510.5	3704.01	56046.9	4693.38	5998.2	21054.9	131.731	6376.59	0.8355	1671	0.995212
