# cr num_clusters num_clusters2 size_max_cluster pn mw mn pdi
6.220000000000000000e+02 1.378000000000000000e+03 4.070000000000000000e+02 9.000000000000000000e+00 1.451378809869375841e+00 1.938999999999950985e+00 1.451378809869375841e+00 1.335970999999966269e+00
6.320000000000000000e+02 1.368000000000000000e+03 4.120000000000000000e+02 9.000000000000000000e+00 1.461988304093567281e+00 1.978999999999951021e+00 1.461988304093567281e+00 1.353635999999966533e+00
6.400000000000000000e+02 1.360000000000000000e+03 4.140000000000000000e+02 9.000000000000000000e+00 1.470588235294117752e+00 1.997999999999951592e+00 1.470588235294117752e+00 1.358639999999966985e+00
6.490000000000000000e+02 1.351000000000000000e+03 4.190000000000000000e+02 9.000000000000000000e+00 1.480384900074019239e+00 2.010999999999956156e+00 1.480384900074019239e+00 1.358430499999970342e+00
6.550000000000000000e+02 1.345000000000000000e+03 4.190000000000000000e+02 9.000000000000000000e+00 1.486988847583643025e+00 2.024999999999962164e+00 1.486988847583643025e+00 1.361812499999974557e+00
6.590000000000000000e+02 1.341000000000000000e+03 4.250000000000000000e+02 9.000000000000000000e+00 1.491424310216256544e+00 2.014999999999958380e+00 1.491424310216256544e+00 1.351057499999972045e+00
6.650000000000000000e+02 1.335000000000000000e+03 4.240000000000000000e+02 9.000000000000000000e+00 1.498127340823970144e+00 2.035999999999967613e+00 1.498127340823970144e+00 1.359029999999978200e+00
6.690000000000000000e+02 1.331000000000000000e+03 4.240000000000000000e+02 9.000000000000000000e+00 1.502629601803155523e+00 2.049999999999974065e+00 1.502629601803155523e+00 1.364274999999982807e+00
6.770000000000000000e+02 1.323000000000000000e+03 4.250000000000000000e+02 9.000000000000000000e+00 1.511715797430083219e+00 2.069999999999982965e+00 1.511715797430083219e+00 1.369304999999988670e+00
6.880000000000000000e+02 1.312000000000000000e+03 4.270000000000000000e+02 9.000000000000000000e+00 1.524390243902439046e+00 2.095999999999995200e+00 1.524390243902439046e+00 1.374975999999996867e+00
6.920000000000000000e+02 1.308000000000000000e+03 4.280000000000000000e+02 9.000000000000000000e+00 1.529051987767584109e+00 2.103999999999998316e+00 1.529051987767584109e+00 1.376015999999998796e+00
7.070000000000000000e+02 1.293000000000000000e+03 4.360000000000000000e+02 9.000000000000000000e+00 1.546790409899458707e+00 2.134000000000012331e+00 1.546790409899458707e+00 1.379631000000007823e+00
7.110000000000000000e+02 1.289000000000000000e+03 4.350000000000000000e+02 9.000000000000000000e+00 1.551590380139643122e+00 2.145000000000017337e+00 1.551590380139643122e+00 1.382452500000011186e+00
7.200000000000000000e+02 1.280000000000000000e+03 4.370000000000000000e+02 9.000000000000000000e+00 1.562500000000000000e+00 2.171000000000029129e+00 1.562500000000000000e+00 1.389440000000018660e+00
7.300000000000000000e+02 1.270000000000000000e+03 4.400000000000000000e+02 9.000000000000000000e+00 1.574803149606299302e+00 2.199000000000038035e+00 1.574803149606299302e+00 1.396365000000024059e+00
7.330000000000000000e+02 1.267000000000000000e+03 4.380000000000000000e+02 9.000000000000000000e+00 1.578531965272296667e+00 2.208000000000037044e+00 1.578531965272296667e+00 1.398768000000023548e+00
7.380000000000000000e+02 1.262000000000000000e+03 4.390000000000000000e+02 9.000000000000000000e+00 1.584786053882725865e+00 2.221000000000037389e+00 1.584786053882725865e+00 1.401451000000023539e+00
7.430000000000000000e+02 1.257000000000000000e+03 4.420000000000000000e+02 9.000000000000000000e+00 1.591089896579156671e+00 2.231000000000037176e+00 1.591089896579156671e+00 1.402183500000023342e+00
7.460000000000000000e+02 1.254000000000000000e+03 4.420000000000000000e+02 9.000000000000000000e+00 1.594896331738437034e+00 2.246000000000036412e+00 1.594896331738437034e+00 1.408242000000022864e+00
7.510000000000000000e+02 1.249000000000000000e+03 4.430000000000000000e+02 9.000000000000000000e+00 1.601281024819855903e+00 2.261000000000037868e+00 1.601281024819855903e+00 1.411994500000023578e+00
7.530000000000000000e+02 1.247000000000000000e+03 4.450000000000000000e+02 9.000000000000000000e+00 1.603849238171611846e+00 2.262000000000037314e+00 1.603849238171611846e+00 1.410357000000023175e+00
