# cr len_gsub pn pdi
1.598000000000000000e+03 4.040000000000000000e+02 4.950495049504950451e+00 2.223010000000015030e+00
1.599000000000000000e+03 4.030000000000000000e+02 4.962779156327543184e+00 2.226575000000015070e+00
1.602000000000000000e+03 4.000000000000000000e+02 5.000000000000000000e+00 2.215600000000014891e+00
1.605000000000000000e+03 3.970000000000000000e+02 5.037783375314861090e+00 2.206526000000014864e+00
1.607000000000000000e+03 3.950000000000000000e+02 5.063291139240506666e+00 2.197582500000014427e+00
1.611000000000000000e+03 3.910000000000000000e+02 5.115089514066496257e+00 2.182171000000014516e+00
1.615000000000000000e+03 3.880000000000000000e+02 5.154639175257732298e+00 2.207138000000013811e+00
1.617000000000000000e+03 3.860000000000000000e+02 5.181347150259067114e+00 2.201358000000013693e+00
1.621000000000000000e+03 3.820000000000000000e+02 5.235602094240837445e+00 2.239475000000013427e+00
1.624000000000000000e+03 3.790000000000000000e+02 5.277044854881266289e+00 2.247659500000013466e+00
1.627000000000000000e+03 3.760000000000000000e+02 5.319148936170212671e+00 2.234756000000013287e+00
1.629000000000000000e+03 3.740000000000000000e+02 5.347593582887700592e+00 2.305149000000012549e+00
1.632000000000000000e+03 3.710000000000000000e+02 5.390835579514824616e+00 2.291110500000013150e+00
1.634000000000000000e+03 3.690000000000000000e+02 5.420054200542005596e+00 2.292228000000012589e+00
1.635000000000000000e+03 3.680000000000000000e+02 5.434782608695652328e+00 2.304416000000012676e+00
1.638000000000000000e+03 3.650000000000000000e+02 5.479452054794520244e+00 2.315560000000013385e+00
1.641000000000000000e+03 3.620000000000000000e+02 5.524861878453038777e+00 2.357706000000012292e+00
1.645000000000000000e+03 3.580000000000000000e+02 5.586592178770949602e+00 2.347585000000012023e+00
1.647000000000000000e+03 3.560000000000000000e+02 5.617977528089888040e+00 2.337674000000010910e+00
1.650000000000000000e+03 3.530000000000000000e+02 5.665722379603399084e+00 2.323093000000010733e+00
1.654000000000000000e+03 3.490000000000000000e+02 5.730659025787965710e+00 2.314393500000010651e+00
1.657000000000000000e+03 3.460000000000000000e+02 5.780346820809248776e+00 2.381518000000010460e+00
1.659000000000000000e+03 3.440000000000000000e+02 5.813953488372092693e+00 2.385984000000010763e+00
1.662000000000000000e+03 3.410000000000000000e+02 5.865102639296187803e+00 2.405243500000010304e+00
1.663000000000000000e+03 3.400000000000000000e+02 5.882352941176471006e+00 2.398870000000009828e+00
1.665000000000000000e+03 3.380000000000000000e+02 5.917159763313609488e+00 2.389829000000009973e+00
1.667000000000000000e+03 3.360000000000000000e+02 5.952380952380952550e+00 2.380392000000009389e+00
1.669000000000000000e+03 3.340000000000000000e+02 5.988023952095808511e+00 2.463250000000009710e+00
1.672000000000000000e+03 3.320000000000000000e+02 6.024096385542168974e+00 2.452650000000009545e+00
1.674000000000000000e+03 3.300000000000000000e+02 6.060606060606060552e+00 2.454045000000009136e+00
