# cr num_clusters num_clusters2 size_max_cluster pn mw mn pdi
5.760000000000000000e+02 1.424000000000000000e+03 3.770000000000000000e+02 7.000000000000000000e+00 1.404494382022472010e+00 1.867999999999946814e+00 1.404494382022472010e+00 1.330015999999962117e+00
5.830000000000000000e+02 1.417000000000000000e+03 3.800000000000000000e+02 7.000000000000000000e+00 1.411432604093154630e+00 1.878999999999947157e+00 1.411432604093154630e+00 1.331271499999962415e+00
5.910000000000000000e+02 1.409000000000000000e+03 3.820000000000000000e+02 7.000000000000000000e+00 1.419446415897799962e+00 1.894999999999947393e+00 1.419446415897799962e+00 1.335027499999962730e+00
6.000000000000000000e+02 1.400000000000000000e+03 3.900000000000000000e+02 7.000000000000000000e+00 1.428571428571428603e+00 1.905999999999948402e+00 1.428571428571428603e+00 1.334199999999963859e+00
6.090000000000000000e+02 1.391000000000000000e+03 3.890000000000000000e+02 7.000000000000000000e+00 1.437814521926671363e+00 1.935999999999948651e+00 1.437814521926671363e+00 1.346487999999964380e+00
6.130000000000000000e+02 1.387000000000000000e+03 3.910000000000000000e+02 7.000000000000000000e+00 1.441961067051189538e+00 1.945999999999948882e+00 1.441961067051189538e+00 1.349550999999964640e+00
6.220000000000000000e+02 1.378000000000000000e+03 3.980000000000000000e+02 7.000000000000000000e+00 1.451378809869375841e+00 1.956999999999949669e+00 1.451378809869375841e+00 1.348372999999965405e+00
6.390000000000000000e+02 1.361000000000000000e+03 4.050000000000000000e+02 7.000000000000000000e+00 1.469507714915503360e+00 1.998999999999950594e+00 1.469507714915503360e+00 1.360319499999966375e+00
6.470000000000000000e+02 1.353000000000000000e+03 4.080000000000000000e+02 7.000000000000000000e+00 1.478196600147819728e+00 2.023999999999960941e+00 1.478196600147819728e+00 1.369235999999973474e+00
6.550000000000000000e+02 1.345000000000000000e+03 4.080000000000000000e+02 7.000000000000000000e+00 1.486988847583643025e+00 2.036999999999967059e+00 1.486988847583643025e+00 1.369882499999977910e+00
