step	time	T	Ekin	P	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	count_0
212000	212	4.42913	26574.8	246.909	5212.42	4562.2	0	0	25369.7	0
213000	213	4.51547	27092.8	246.959	5236.99	4482	0	0	25825.4	0
214000	214	4.54677	27280.6	254.123	5156.83	4532.2	0	0	25362.6	0
215000	215	4.4251	26550.6	252.553	5209.88	4187.22	0	0	25457.2	0
216000	216	4.47061	26823.6	247.132	4982.38	4480.26	0	0	25747.1	0
217000	217	4.53161	27189.7	253.704	5165.71	4471.37	0	0	25809.1	0
218000	218	4.42775	26566.5	261.429	5121.95	4656.52	0	0	25903.5	0
219000	219	4.4367	26620.2	236.64	5311.36	4153.95	0	0	25663.9	0
220000	220	4.32709	25962.6	246.417	5065.22	4327.59	0	0	25439.1	0
221000	221	4.43907	26634.4	250.945	5177.03	4374.41	0	0	25325.4	0
222000	222	4.37536	26252.2	242.154	5265.29	4472.84	0	0	25728.7	0
223000	223	4.47565	26853.9	245.685	5197.92	4326.73	0	0	25816.2	0
224000	224	4.37732	26263.9	241.271	5161.51	4169.18	0	0	25638.1	0
225000	225	4.4455	26673	240.206	5279.25	4567.97	0	0	25785.7	0
226000	226	4.51342	27080.5	241.757	4923.95	4421.64	0	0	25326.4	0
227000	227	4.52248	27134.9	248.78	5322.15	4464.8	0	0	25565.4	0
228000	228	4.50661	27039.7	243.065	4989.07	4403.15	0	0	25853.9	0
229000	229	4.321	25926	245.5	5307.37	4377.18	0	0	25531.2	0
230000	230	4.50138	27008.3	256.994	5307.49	4646.38	0	0	25264.7	0
231000	231	4.50384	27023	249.666	5297.28	4434.43	0	0	25678.2	0
232000	232	4.31934	25916	245.141	5288.75	4716.14	0	0	25567.6	0
233000	233	4.49853	26991.2	251.795	5126.64	4666.38	0	0	25305	0
234000	234	4.40784	26447	239.195	5200.45	4544.54	0	0	25453.5	0
235000	235	4.36913	26214.8	259.542	5108.96	4347.94	0	0	25369.7	0
236000	236	4.49533	26972	248.127	5013.11	4550.74	0	0	25513.3	0
237000	237	4.42813	26568.8	251.01	5303.33	4514.53	0	0	25523.4	0
238000	238	4.47477	26848.6	241.686	5035.63	4407.16	0	0	25561.7	0
239000	239	4.40301	26418.1	237.731	5338.08	4335.82	0	0	25436	0
240000	240	4.55569	27334.1	251.344	5110.86	4425	0	0	25571.8	0
241000	241	4.48195	26891.7	237.155	5234.61	4392.29	0	0	26192.9	0
242000	242	4.36059	26163.5	248.457	5053.49	4404.88	0	0	25671.5	0
243000	243	4.43825	26629.5	247.942	5386.56	4803.59	0	0	25152.2	0
244000	244	4.4407	26644.2	242.62	5067.1	4454.88	0	0	25252	0
245000	245	4.33479	26008.7	242.581	5016.64	4473.84	0	0	25278.1	0
246000	246	4.48473	26908.4	246.898	5250.03	4585.16	0	0	25562.8	0
247000	247	4.50226	27013.6	240.097	5113.21	4467.19	0	0	25313.1	0
248000	248	4.38821	26329.3	240.672	5312.33	4403.09	0	0	25385.6	0
249000	249	4.45199	26711.9	243.393	5143.48	4461.08	0	0	25789.4	0
250000	250	4.38062	26283.7	247.301	5115.54	4427.68	0	0	25825.9	0
251000	251	4.46269	26776.1	251.56	5330.75	4528.19	0	0	25290.5	0
252000	252	4.45855	26751.3	237.694	5211.66	4413.97	0	0	24985.2	0
253000	253	4.492	26952	242.538	5192.4	4401.15	0	0	25709.5	0
254000	254	4.36219	26173.1	240.906	5374.14	4456.9	0	0	25612.8	0
255000	255	4.45893	26753.6	242.37	5272.75	4518.54	0	0	25660.5	0
256000	256	4.42163	26529.8	254.473	5139.53	4300.15	0	0	25898.5	0
257000	257	4.46622	26797.3	252.226	5322.93	4472.57	0	0	25829	0
258000	258	4.54859	27291.5	252.618	4855.86	4489.11	0	0	25639.9	0
259000	259	4.4572	26743.2	248.141	5192.45	4378.68	0	0	25494.5	0
260000	260	4.35029	26101.7	250.942	5382.63	4672.45	0	0	25727.3	0
