step	time	T	Ekin	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	tab-dynamic_0	cr_5	count_0	Fmax
162000	162	2.50162	15009.7	175.047	2419.72	0	0	-11660.2	0	0	0	7000
163000	163	2.49558	14973.5	184.098	2508.04	0	0	-11570.3	0	0	0	7000
164000	164	2.41574	14494.4	166.125	2319.22	0	0	-11267.8	0	0	0	7000
165000	165	2.51384	15083	173.443	2397.32	0	0	-11415.7	0	0	0	7000
166000	166	2.4651	14790.6	183.798	2465.56	0	0	-11360.9	0	0	0	7029.9
167000	167	2.44361	14661.7	149.726	2613.32	0	0	-11799.5	0	0	0	7000
168000	168	2.4788	14872.8	171.696	2407.46	0	0	-11633.1	0	0	0	7000
169000	169	2.53187	15191.2	197.054	2404.72	0	0	-11548.6	0	0	0	7000
170000	170	2.5064	15038.4	178.278	2507.97	0	0	-11611.3	0	0	0	7037.03
171000	171	2.49131	14947.9	170.209	2446.47	0	0	-11480.9	0	0	0	7000
172000	172	2.42631	14557.9	188.723	2502.65	0	0	-11530.2	0	0	0	7383.27
173000	173	2.5033	15019.8	158.342	2406.46	0	0	-11459.5	0	0	0	7000
174000	174	2.46887	14813.2	150.758	2265.62	0	0	-11435.5	0	0	0	7082.54
175000	175	2.46942	14816.5	147.795	2405.18	0	0	-11645	0	0	0	7630.13
176000	176	2.47747	14864.8	152.888	2472.52	0	0	-11573.4	0	0	0	7000
177000	177	2.52137	15128.2	150.752	2396.49	0	0	-11471.3	0	0	0	7000
178000	178	2.49682	14980.9	152.042	2310.1	0	0	-11224.6	0	0	0	7000
179000	179	2.47503	14850.2	196.263	2331.46	0	0	-11331.4	0	0	0	7000
180000	180	2.43055	14583.3	179.737	2488.71	0	0	-11365.8	0	0	0	7000
181000	181	2.49169	14950.2	191.276	2396.06	0	0	-11363.1	0	0	0	7000
182000	182	2.49245	14954.7	202.253	2420.62	0	0	-11314.5	0	0	0	7000
183000	183	2.37544	14252.7	162.217	2421.91	0	0	-11484.1	0	0	0	7005.33
184000	184	2.48808	14928.5	193.252	2371.93	0	0	-11492.8	0	0	0	7043.46
185000	185	2.45094	14705.6	153.636	2330.33	0	0	-11475.9	0	0	0	7000
