step	time	T	Ekin	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	tab-dynamic_0	count_0	Fmax
160000	160	2.4936	14961.6	196.696	2334.68	0	0	-11626.6	0	0	6119.56
161000	161	2.46832	14809.9	165.85	2376.36	0	0	-11681.5	0	0	6123.66
162000	162	2.49744	14984.7	160.341	2420.22	0	0	-11327.4	0	0	7028.77
163000	163	2.469	14814	178.888	2648.23	0	0	-11552.8	0	0	6802.52
164000	164	2.48611	14916.7	179.276	2483.59	0	0	-11663.8	0	0	6507.28
165000	165	2.47932	14875.9	160.674	2601.9	0	0	-11342.6	0	0	6809.5
166000	166	2.47299	14837.9	185.676	2328.24	0	0	-11583.9	0	0	6889.67
167000	167	2.47019	14821.2	157.008	2494.09	0	0	-11626.9	0	0	7358.7
168000	168	2.49309	14958.5	176.089	2392.27	0	0	-11640.5	0	0	6171.01
169000	169	2.45673	14740.4	180.574	2391.27	0	0	-11500.6	0	0	6558.32
170000	170	2.51127	15067.6	156.65	2282.09	0	0	-11622.3	0	0	6364.9
171000	171	2.49896	14993.8	161.734	2451.97	0	0	-11440.9	0	0	6259.29
172000	172	2.49542	14972.5	179.968	2500.1	0	0	-11370	0	0	7477.99
173000	173	2.44049	14642.9	188.446	2387.99	0	0	-11546.5	0	0	6742.95
174000	174	2.50234	15014	169.146	2511.32	0	0	-11514.6	0	0	6469.97
175000	175	2.4558	14734.8	180.711	2376.66	0	0	-11515.3	0	0	6212
176000	176	2.49974	14998.5	154.052	2413.55	0	0	-11440.9	0	0	6500.53
177000	177	2.51792	15107.5	185.311	2369.24	0	0	-11430.8	0	0	6288.65
178000	178	2.39666	14379.9	222.133	2466.78	0	0	-11294.1	0	0	6513.73
179000	179	2.50677	15040.6	156.034	2321	0	0	-11318.5	0	0	6314.96
180000	180	2.46635	14798.1	148.924	2604.75	0	0	-11475.6	0	0	6477.39
181000	181	2.43687	14621.2	151.685	2354.88	0	0	-11378.8	0	0	6339.39
182000	182	2.47091	14825.5	193.311	2384.97	0	0	-11424	0	0	6521.08
183000	183	2.44499	14670	158.369	2410.95	0	0	-11619.8	0	0	6176.3
184000	184	2.46741	14804.4	208.584	2399.92	0	0	-11618.6	0	0	6511.18
185000	185	2.46046	14762.8	176.921	2362.02	0	0	-11674.7	0	0	5785.4
186000	186	2.44709	14682.5	180.15	2343.28	0	0	-11770.7	0	0	7488.91
187000	187	2.45598	14735.9	186.89	2488.18	0	0	-11342.5	0	0	6552.64
188000	188	2.40074	14404.5	179.937	2362.81	0	0	-11663.3	0	0	6839.21
189000	189	2.49393	14963.6	151.2	2489.2	0	0	-11308.9	0	0	6524.64
190000	190	2.48973	14938.4	164.417	2576	0	0	-11578.4	0	0	6882.56
191000	191	2.46733	14804	161.162	2395.56	0	0	-11715.2	0	0	6213.5
192000	192	2.49293	14957.6	179.78	2407.19	0	0	-11862	0	0	6579.07
193000	193	2.39906	14394.3	182.705	2309.08	0	0	-11622.3	0	0	5949.82
194000	194	2.45282	14716.9	150.654	2425.22	0	0	-11236.8	0	0	6966.38
195000	195	2.45788	14747.3	210.818	2374.18	0	0	-11547.5	0	0	6734.49
196000	196	2.47035	14822.1	186.667	2406.5	0	0	-11337.2	0	0	6562.25
197000	197	2.45871	14752.3	142.575	2452.31	0	0	-11476.7	0	0	6584.63
198000	198	2.51758	15105.5	160.73	2549.95	0	0	-11379.1	0	0	7284.51
199000	199	2.4502	14701.2	210.591	2419.46	0	0	-11327.8	0	0	6307.92
200000	200	2.46109	14766.5	167.871	2323.6	0	0	-11302.3	0	0	6637.74
201000	201	2.41442	14486.5	164.893	2381.79	0	0	-11558.7	0	0	6394.84
202000	202	2.48985	14939.1	203.394	2478.67	0	0	-11592.4	0	0	6176.59
203000	203	2.45257	14715.4	181.962	2508.03	0	0	-11413	0	0	6809.79
204000	204	2.49995	14999.7	199.786	2406.04	0	0	-11448.3	0	0	7384.89
205000	205	2.53578	15214.7	152.497	2343.63	0	0	-11410.4	0	0	6182.71
206000	206	2.46771	14806.3	227.736	2447.99	0	0	-11369.7	0	0	6247.43
207000	207	2.46435	14786.1	180.071	2544.17	0	0	-11305.9	0	0	6466.31
208000	208	2.49209	14952.6	220.614	2473.63	0	0	-10981.1	0	0	6354.28
209000	209	2.44734	14684.1	158.024	2525.94	0	0	-11301.8	0	0	6542.74
210000	210	2.43955	14637.3	217.189	2392	0	0	-11042.1	0	0	6242.79
211000	211	2.48824	14929.4	172.903	2580.17	0	0	-11528.1	0	0	6596.2
212000	212	2.48189	14891.3	158.927	2425.89	0	0	-11328.8	0	0	6365.7
213000	213	2.53597	15215.8	146.521	2421.82	0	0	-11681.7	0	0	6436.12
214000	214	2.46054	14763.3	175.498	2472.24	0	0	-11322.1	0	0	6334.85
215000	215	2.4492	14695.2	147.47	2485.1	0	0	-11433	0	0	6523.11
216000	216	2.52546	15152.8	185.306	2472.39	0	0	-11517.7	0	0	6162.91
217000	217	2.45809	14748.5	165.732	2477.46	0	0	-11280.6	0	0	6532.09
218000	218	2.45998	14759.9	139.87	2355.52	0	0	-11819.1	0	0	6830.42
219000	219	2.45909	14754.5	137.207	2452.26	0	0	-11245.4	0	0	6721.74
220000	220	2.48959	14937.5	200.612	2399.77	0	0	-11580.3	0	0	6333.39
221000	221	2.47268	14836.1	144.333	2295.19	0	0	-11449.3	0	0	6015.73
222000	222	2.49722	14983.3	166.884	2500.91	0	0	-11795.6	0	0	6037.08
223000	223	2.441	14646	190.313	2444.16	0	0	-11573.9	0	0	7808.59
224000	224	2.48201	14892.1	151.876	2328.78	0	0	-11535.7	0	0	6766.99
225000	225	2.45451	14727	151.343	2564.11	0	0	-11351.8	0	0	6468.92
226000	226	2.49158	14949.5	189.397	2527.24	0	0	-11408.7	0	0	6450.43
227000	227	2.4466	14679.6	192.356	2550.05	0	0	-11435.1	0	0	6825.85
228000	228	2.46545	14792.7	216.461	2447.37	0	0	-11655.4	0	0	7110.46
229000	229	2.49388	14963.3	176.743	2347.49	0	0	-11423.5	0	0	6872.77
230000	230	2.49088	14945.3	232.528	2455.18	0	0	-11636.8	0	0	7581.77
231000	231	2.47963	14877.8	168.416	2464.75	0	0	-11623.9	0	0	6749.17
232000	232	2.45028	14701.7	181.963	2346.8	0	0	-11775	0	0	6008.21
233000	233	2.44167	14650	160.679	2450.02	0	0	-11577.6	0	0	6626.74
234000	234	2.49136	14948.2	151.655	2468.18	0	0	-11480.6	0	0	7015.92
235000	235	2.46965	14817.9	166.488	2426.95	0	0	-11358	0	0	7617.63
236000	236	2.46513	14790.8	139.843	2477.67	0	0	-11438.4	0	0	6812.38
237000	237	2.53859	15231.5	200.255	2430.55	0	0	-11712.5	0	0	6792.4
238000	238	2.51926	15115.6	185.569	2427.65	0	0	-11356.4	0	0	6718.45
239000	239	2.50431	15025.9	191.364	2525.99	0	0	-11655.8	0	0	6118.15
240000	240	2.42746	14564.8	174.343	2281.08	0	0	-11464.5	0	0	6475.42
241000	241	2.47871	14872.3	221.956	2492.58	0	0	-11654.1	0	0	7378.4
242000	242	2.45588	14735.3	149.962	2540.78	0	0	-11620.1	0	0	6636.34
243000	243	2.48257	14895.4	161.739	2482.85	0	0	-11883.8	0	0	7444.85
244000	244	2.49286	14957.2	190.136	2535.04	0	0	-11781.2	0	0	7146.81
