step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	cr_3	count_0	Fmax
240000	240	4.42234	26534.1	0	5199.21	4530.43	0	25348	0	0	0	8161.76
241000	241	4.4794	26876.4	0	5101.98	4390.15	0	25228.4	0	0	0	7552.49
242000	242	4.4346	26607.6	0	5029.89	4682.96	0	25285.6	0	0	0	7990.59
243000	243	4.46391	26783.4	0	5026.91	4558.75	0	25766.2	0	0	0	7770.09
244000	244	4.5195	27117	0	5219.39	4442.05	0	25296.5	0	0	0	7556.83
245000	245	4.49658	26979.5	0	5520.72	4352.48	0	25942.4	0	0	0	8173.24
246000	246	4.45789	26747.3	0	5085.85	4447.82	0	25686.1	0	0	0	8095.17
247000	247	4.31062	25863.7	0	4950.01	4420.9	0	25595.1	0	0	0	7928.47
248000	248	4.57039	27422.3	0	5273.21	4332.51	0	24960.6	0	0	0	7712.53
249000	249	4.37406	26244.4	0	5118.54	4504.77	0	25758.3	0	0	0	8292.69
250000	250	4.30761	25845.6	0	5139.59	4492.63	0	25478.4	0	0	0	7733.89
251000	251	4.40087	26405.2	0	5289.56	4500.75	0	25629.6	0	0	0	7590.75
252000	252	4.38427	26305.6	0	5425.38	4663.18	0	25428.1	0	0	0	7857.43
253000	253	4.50263	27015.8	0	5191.78	4355.97	0	25659.4	0	0	0	7791.99
254000	254	4.43577	26614.6	0	5329.07	4345.39	0	25049.9	0	0	0	8091.1
255000	255	4.50521	27031.2	0	5128	4573.95	0	25622.5	0	0	0	7652.59
256000	256	4.3348	26008.8	0	5119.14	4506.85	0	25048.5	0	0	0	7828.76
257000	257	4.41063	26463.8	0	5782.52	4412.38	0	25058.1	0	0	0	8043.09
258000	258	4.47056	26823.4	0	5110.26	4130.91	0	25592.6	0	0	0	7500.38
259000	259	4.46908	26814.5	0	5456.83	4309.2	0	25406.4	0	0	0	7739.69
260000	260	4.39784	26387	0	5048.63	4280.49	0	25188.7	0	0	0	8666.86
261000	261	4.39454	26367.2	0	5186.65	4413.99	0	25644.6	0	0	0	7805.94
262000	262	4.46755	26805.3	0	4899.08	4395.14	0	25432.1	0	0	0	8158.47
263000	263	4.41359	26481.6	0	4848.15	4298.78	0	25529.2	0	0	0	7964.7
264000	264	4.52127	27127.6	0	5138.41	4420.49	0	25106	0	0	0	7980.23
265000	265	4.4409	26645.4	0	5272.41	4357.64	0	25099.6	0	0	0	8075.88
266000	266	4.33661	26019.7	0	5274.78	4444.57	0	25367.7	0	0	0	7755.16
267000	267	4.43011	26580.6	0	5463.37	4257.11	0	25706.4	0	0	0	7927.97
268000	268	4.382	26292	0	5417.71	4306.75	0	25894.2	0	0	0	7773.16
269000	269	4.45462	26727.7	0	5252.9	4536	0	25422.5	0	0	0	7733.17
270000	270	4.42941	26576.5	0	5011.92	4373.56	0	25410.7	0	0	0	7916.3
271000	271	4.49605	26976.3	0	4894.08	4645	0	25651.5	0	0	0	7771.78
272000	272	4.40798	26447.9	0	5358.34	4404.83	0	25505.6	0	0	0	7944.91
273000	273	4.3721	26232.6	0	5011.69	4512.87	0	25322.8	0	0	0	7570.07
274000	274	4.3787	26272.2	0	5320.9	4408.67	0	25346.5	0	0	0	7458.66
275000	275	4.36331	26179.9	0	5181.04	4270.1	0	25380.9	0	0	0	8258.2
276000	276	4.32583	25955	0	5507.34	4382.23	0	25138.5	0	0	0	7558.9
277000	277	4.42799	26567.9	0	5145.33	4843.31	0	25681.6	0	0	0	7519.98
278000	278	4.52159	27129.5	0	5511.52	4491.29	0	25438.3	0	0	0	7982.66
279000	279	4.43081	26584.9	0	5174.11	4446.81	0	25773.3	0	0	0	7753.87
280000	280	4.51418	27085.1	0	5198.08	4698.62	0	26084.6	0	0	0	7385.49
281000	281	4.50922	27055.3	0	5150.15	4404.41	0	25888.9	0	0	0	7848.07
282000	282	4.43195	26591.7	0	5191.9	4393.44	0	25589.7	0	0	0	7639.89
283000	283	4.36545	26192.7	0	5365.4	4464.69	0	25796.4	0	0	0	8080.58
284000	284	4.3853	26311.8	0	5268.61	4374.78	0	25665.7	0	0	0	7576.05
285000	285	4.48134	26888	0	5468.24	4304.1	0	25396.2	0	0	0	8352.15
286000	286	4.45228	26713.7	0	5202.12	4301.88	0	25666.1	0	0	0	7924.68
287000	287	4.3898	26338.8	0	5421.71	4260.23	0	25367.5	0	0	0	8687.82
288000	288	4.47344	26840.6	0	4961.43	4276.73	0	25891.5	0	0	0	8218.36
289000	289	4.39676	26380.6	0	5153.6	4297.84	0	25658.4	0	0	0	8096.61
290000	290	4.46346	26780.8	0	4953.74	4324.31	0	25656.6	0	0	0	7849.2
291000	291	4.54503	27270.2	0	5122.83	4501.59	0	25692.5	0	0	0	8043.93
292000	292	4.43484	26609	0	4837.63	4564.84	0	25949.4	0	0	0	7964.36
293000	293	4.45918	26755.1	0	5239.47	4457.39	0	25826.4	0	0	0	7932.52
294000	294	4.43268	26596.1	0	5210.19	4368.47	0	25459.8	0	0	0	7656.75
295000	295	4.40734	26444.1	0	5018.43	4454.57	0	25400.5	0	0	0	7544.59
