step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	cr_3	count_0
293000	293	4.46797	26807.8	0	5204.35	4391.18	0	25942	0	0	0
294000	294	4.45482	26728.9	0	5153.42	4487.69	0	25964.4	0	0	0
295000	295	4.32783	25967	0	5068.78	4509.72	0	25607.7	0	0	0
296000	296	4.45397	26723.8	0	5229.78	4576.17	0	25710	0	0	0
297000	297	4.47644	26858.6	0	5136.96	4194.66	0	25604.7	0	0	0
298000	298	4.46783	26807	0	5122.48	4527.34	0	25539.9	0	0	0
299000	299	4.35999	26160	0	5488.95	4478.15	0	25273.1	0	0	0
300000	300	4.34303	26058.2	0	5298.2	4310.45	0	25520.2	0	0	0
301000	301	4.51576	27094.6	0	5405.25	4379.43	0	25328.2	0	0	0
302000	302	4.37275	26236.5	0	5404.53	4361.78	0	25376.7	0	0	0
303000	303	4.49425	26965.5	0	5543.14	4377.38	0	25297.8	0	0	0
304000	304	4.43605	26616.3	0	5499.42	4287.51	0	25775.8	0	0	0
305000	305	4.46647	26798.8	0	5262.53	4448.9	0	25755.4	0	0	0
306000	306	4.55132	27307.9	0	5119.8	4544.44	0	25857.8	0	0	0
307000	307	4.47778	26866.7	0	5279.15	4597.4	0	25818.3	0	0	0
308000	308	4.38733	26324	0	4921.92	4166.61	0	26140.5	0	0	0
309000	309	4.43239	26594.4	0	5386.53	4493.76	0	25865.9	0	0	0
310000	310	4.39324	26359.4	0	5223.59	4221.37	0	26363.1	0	0	0
311000	311	4.44767	26686	0	5438.34	4470.11	0	26036.1	0	0	0
312000	312	4.32251	25935.1	0	5289.96	4180.96	0	25635.8	0	0	0
313000	313	4.40935	26456.1	0	5312.71	4462.33	0	25710.8	0	0	0
314000	314	4.37004	26220.2	0	5387.9	4373.26	0	25634.1	0	0	0
315000	315	4.5341	27204.6	0	5240.54	4478.62	0	25337.2	0	0	0
316000	316	4.47605	26856.3	0	5291.79	4352.48	0	25593.8	0	0	0
317000	317	4.49287	26957.2	0	5531.31	4477.31	0	25560	0	0	0
318000	318	4.49045	26942.7	0	5363.38	4660.73	0	25533.8	0	0	0
319000	319	4.45455	26727.3	0	5262.06	4466.33	0	25860.9	0	0	0
320000	320	4.59415	27564.9	0	5341.25	4369.73	0	25410.4	0	0	0
321000	321	4.43812	26628.7	0	5085.6	4559.86	0	25837.9	0	0	0
322000	322	4.3676	26205.6	0	5397.78	4338.62	0	25674.1	0	0	0
323000	323	4.46056	26763.4	0	5341.27	4832.98	0	25222.9	0	0	0
324000	324	4.51675	27100.5	0	5160.06	4057.33	0	25795.4	0	0	0
325000	325	4.46079	26764.7	0	5253.99	4216.12	0	25517.6	0	0	0
326000	326	4.43462	26607.7	0	5610.89	4609.3	0	25566	0	0	0
327000	327	4.49238	26954.3	0	5317.47	4470.38	0	25329.4	0	0	0
328000	328	4.43412	26604.7	0	5227.11	4312.66	0	25067.3	0	0	0
329000	329	4.42268	26536.1	0	5061.69	4591.7	0	25480.4	0	0	0
330000	330	4.50471	27028.3	0	5251.09	4481.22	0	25316.4	0	0	0
331000	331	4.43245	26594.7	0	5118.88	4408.32	0	25394.4	0	0	0
332000	332	4.31638	25898.3	0	4991	4534.25	0	25705.8	0	0	0
333000	333	4.50391	27023.5	0	4923.24	4574.53	0	25526.7	0	0	0
334000	334	4.37669	26260.2	0	5655.03	4183.29	0	25217.4	0	0	0
335000	335	4.36849	26210.9	0	5310.98	4304.83	0	25836.9	0	0	0
336000	336	4.40442	26426.5	0	5305.34	4317.35	0	25692.3	0	0	0
337000	337	4.35926	26155.6	0	5098.78	4374.89	0	25769.8	0	0	0
338000	338	4.52121	27127.2	0	5214.55	4411.8	0	25566.3	0	0	0
339000	339	4.38044	26282.7	0	5257.46	4785.34	0	25672.8	0	0	0
340000	340	4.44724	26683.4	0	5028.79	4530.56	0	25743	0	0	0
341000	341	4.46479	26788.7	0	5268.78	4198.16	0	25776.7	0	0	0
342000	342	4.41343	26480.6	0	5201.51	4342.55	0	25442.9	0	0	0
343000	343	4.41459	26487.5	0	5127.57	4371.57	0	25531.2	0	0	0
344000	344	4.49107	26946.4	0	5269.3	4582.74	0	25870.4	0	0	0
