step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	tab-scaled_0	cr_3	count_0	res_fpl_0
174000	174	4.45289	26717.3	0	5450.15	4562.9	0	15804.1	0	10096.1	0	0	-nan
175000	175	4.48822	26929.3	0	5074.63	4500.93	0	15421.4	0	10365.9	0	0	-nan
176000	176	4.4405	26643	0	5152.51	4305.63	0	15789.6	0	10046.3	0	0	-nan
177000	177	4.36511	26190.7	0	5059.6	4493.42	0	15400	0	10336.4	0	0	-nan
178000	178	4.48634	26918	0	5036.39	4557.98	0	15790.3	0	9894.55	0	0	-nan
179000	179	4.38047	26282.8	0	5314.96	4266.25	0	15408.5	0	10008.2	0	0	-nan
180000	180	4.50093	27005.6	0	5373.84	4541.77	0	15404.4	0	9848.74	0	0	-nan
181000	181	4.41739	26504.3	0	5293.96	4408.07	0	15595.5	0	9964.47	0	0	-nan
182000	182	4.42088	26525.3	0	5146.63	4576.41	0	15432.1	0	9837.54	0	0	-nan
183000	183	4.349	26094	0	5003.28	4608.56	0	15686.4	0	10029.4	0	0	-nan
184000	184	4.34015	26040.9	0	5314.68	4571.21	0	15367.9	0	10304.8	0	0	-nan
185000	185	4.45816	26749	0	5181.92	4663.13	0	15262	0	10405.8	0	0	-nan
186000	186	4.48384	26903	0	5397.62	4491.52	0	15477.2	0	10236.3	0	0	-nan
187000	187	4.35368	26122.1	0	5420.92	4527.02	0	15332.5	0	10210.2	0	0	-nan
188000	188	4.39616	26377	0	5135.54	4730.2	0	15571.9	0	9707.68	0	0	-nan
189000	189	4.5586	27351.6	0	5145.49	4195.33	0	15545.1	0	10571.6	0	0	-nan
190000	190	4.47395	26843.7	0	5387.31	4369.91	0	15781.8	0	9801.72	0	0	-nan
191000	191	4.46014	26760.8	0	5117.88	4382.89	0	15832.9	0	9936.87	0	0	-nan
192000	192	4.43239	26594.3	0	4958.59	4634.2	0	15536.1	0	10232.4	0	0	-nan
193000	193	4.47613	26856.8	0	5077.49	4430.64	0	15407.1	0	10580.5	0	0	-nan
194000	194	4.42141	26528.4	0	5045.43	4218.86	0	15120.7	0	11049.7	0	0	-nan
195000	195	4.48758	26925.5	0	5160.95	4319.84	0	15305.1	0	10649.6	0	0	-nan
196000	196	4.49814	26988.8	0	5075.33	4398.65	0	15291.1	0	10401.6	0	0	-nan
197000	197	4.50365	27021.9	0	5152.96	4533.67	0	15608.8	0	10461.6	0	0	-nan
198000	198	4.44368	26662.1	0	5161.17	4668.59	0	15224.8	0	10718.9	0	0	-nan
199000	199	4.41027	26461.6	0	5241.47	4183.85	0	15586.2	0	9993.57	0	0	-nan
200000	200	4.40537	26432.2	0	5163.42	4577.6	0	15428.8	0	10528.2	0	0	-nan
201000	201	4.48979	26938.8	0	5307.71	4586.3	0	15087.7	0	10053.5	0	0	-nan
202000	202	4.43108	26586.5	0	5008.18	4560.58	0	15205.2	0	10252.2	0	0	-nan
203000	203	4.45591	26735.4	0	4934.17	4196.23	0	15404.2	0	10178.1	0	0	-nan
204000	204	4.38032	26281.9	0	5362.77	4447.98	0	15536.8	0	10441.4	0	0	-nan
205000	205	4.463	26778	0	5106.83	4331.84	0	15659.7	0	10152.2	0	0	-nan
206000	206	4.51894	27113.6	0	5182.97	4373.74	0	15721.4	0	9868.89	0	0	-nan
207000	207	4.50496	27029.8	0	5275.69	4487.49	0	15176.6	0	10191.5	0	0	-nan
208000	208	4.31887	25913.2	0	5146.24	4296.08	0	15011.9	0	10163	0	0	-nan
209000	209	4.43	26580	0	5112.39	4560.29	0	15066.9	0	10251.7	0	0	-nan
210000	210	4.38795	26327.7	0	5109.74	4454.18	0	15167.1	0	10137.4	0	0	-nan
